Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, class
425,172.16.0.5-192.168.50.1-634-60495-17,172.16.0.5,634,192.168.50.1,60495,17,51:39.8,28415,DrDoS_DNS
430,172.16.0.5-192.168.50.1-60495-634-17,192.168.50.1,634,172.16.0.5,60495,17,51:39.8,2,DrDoS_DNS
1654,172.16.0.5-192.168.50.1-634-46391-17,172.16.0.5,634,192.168.50.1,46391,17,51:39.9,48549,DrDoS_DNS
2927,172.16.0.5-192.168.50.1-634-11894-17,172.16.0.5,634,192.168.50.1,11894,17,51:39.9,48337,DrDoS_DNS
694,172.16.0.5-192.168.50.1-634-27878-17,172.16.0.5,634,192.168.50.1,27878,17,51:39.9,32026,DrDoS_DNS
838,172.16.0.5-192.168.50.1-634-47149-17,172.16.0.5,634,192.168.50.1,47149,17,51:39.9,46469,DrDoS_DNS
3090,172.16.0.5-192.168.50.1-634-22713-17,172.16.0.5,634,192.168.50.1,22713,17,51:40.0,31201,DrDoS_DNS
2594,172.16.0.5-192.168.50.1-634-49912-17,172.16.0.5,634,192.168.50.1,49912,17,51:40.0,50453,DrDoS_DNS
2698,172.16.0.5-192.168.50.1-634-56681-17,172.16.0.5,634,192.168.50.1,56681,17,51:40.0,31008,DrDoS_DNS
277,172.16.0.5-192.168.50.1-634-13161-17,172.16.0.5,634,192.168.50.1,13161,17,51:40.0,30143,DrDoS_DNS
745,172.16.0.5-192.168.50.1-634-25051-17,172.16.0.5,634,192.168.50.1,25051,17,51:40.0,48900,DrDoS_DNS
1381,172.16.0.5-192.168.50.1-634-12606-17,172.16.0.5,634,192.168.50.1,12606,17,51:40.1,32323,DrDoS_DNS
2185,172.16.0.5-192.168.50.1-809-47588-17,172.16.0.5,809,192.168.50.1,47588,17,51:40.1,81626,DrDoS_DNS
1189,172.16.0.5-192.168.50.1-634-11191-17,172.16.0.5,634,192.168.50.1,11191,17,51:40.2,28950,DrDoS_DNS
2111,172.16.0.5-192.168.50.1-634-9330-17,172.16.0.5,634,192.168.50.1,9330,17,51:40.2,39033,DrDoS_DNS
733,172.16.0.5-192.168.50.1-634-60508-17,172.16.0.5,634,192.168.50.1,60508,17,51:40.2,28486,DrDoS_DNS
741,172.16.0.5-192.168.50.1-634-63045-17,172.16.0.5,634,192.168.50.1,63045,17,51:40.2,30589,DrDoS_DNS
122,172.16.0.5-192.168.50.1-0-0-0,172.16.0.5,0,192.168.50.1,0,0,51:40.2,119819608,DrDoS_DNS
520,172.16.0.5-192.168.50.1-634-44802-17,172.16.0.5,634,192.168.50.1,44802,17,51:40.2,35172,DrDoS_DNS
1858,172.16.0.5-192.168.50.1-634-3192-17,172.16.0.5,634,192.168.50.1,3192,17,51:40.2,32880,DrDoS_DNS
2113,172.16.0.5-192.168.50.1-634-11970-17,172.16.0.5,634,192.168.50.1,11970,17,51:40.3,36052,DrDoS_DNS
873,172.16.0.5-192.168.50.1-634-15612-17,172.16.0.5,634,192.168.50.1,15612,17,51:40.3,40926,DrDoS_DNS
0,172.16.0.5-192.168.50.1-48621-22-6,192.168.50.1,22,172.16.0.5,48621,6,51:40.3,5197051,DrDoS_DNS
2738,172.16.0.5-192.168.50.1-634-46719-17,172.16.0.5,634,192.168.50.1,46719,17,51:40.3,37616,DrDoS_DNS
2844,172.16.0.5-192.168.50.1-634-7674-17,172.16.0.5,634,192.168.50.1,7674,17,51:40.3,31111,DrDoS_DNS
1925,172.16.0.5-192.168.50.1-634-39071-17,172.16.0.5,634,192.168.50.1,39071,17,51:40.4,31529,DrDoS_DNS
2911,172.16.0.5-192.168.50.1-634-37616-17,172.16.0.5,634,192.168.50.1,37616,17,51:40.4,36694,DrDoS_DNS
123,192.168.50.8-125.56.201.115-59099-80-6,192.168.50.8,59099,125.56.201.115,80,6,51:40.4,110861755,BENIGN
2371,172.16.0.5-192.168.50.1-634-64682-17,172.16.0.5,634,192.168.50.1,64682,17,51:40.4,39164,DrDoS_DNS
1417,172.16.0.5-192.168.50.1-634-587-17,172.16.0.5,634,192.168.50.1,587,17,51:40.4,38512,DrDoS_DNS
2742,172.16.0.5-192.168.50.1-634-31123-17,172.16.0.5,634,192.168.50.1,31123,17,51:40.5,67199,DrDoS_DNS
23,192.168.50.8-54.218.239.186-59102-443-6,192.168.50.8,59102,54.218.239.186,443,6,51:40.5,40335006,BENIGN
3319,172.16.0.5-192.168.50.1-634-13463-17,172.16.0.5,634,192.168.50.1,13463,17,51:40.5,79523,DrDoS_DNS
1488,172.16.0.5-192.168.50.1-634-47597-17,172.16.0.5,634,192.168.50.1,47597,17,51:40.5,40977,DrDoS_DNS
1904,172.16.0.5-192.168.50.1-634-29575-17,172.16.0.5,634,192.168.50.1,29575,17,51:40.6,47233,DrDoS_DNS
232,172.16.0.5-192.168.50.1-634-15125-17,172.16.0.5,634,192.168.50.1,15125,17,51:40.6,111137,DrDoS_DNS
2836,172.16.0.5-192.168.50.1-634-46539-17,172.16.0.5,634,192.168.50.1,46539,17,51:40.6,47852,DrDoS_DNS
1444,172.16.0.5-192.168.50.1-634-17872-17,172.16.0.5,634,192.168.50.1,17872,17,51:40.7,29224,DrDoS_DNS
2212,172.16.0.5-192.168.50.1-634-57620-17,172.16.0.5,634,192.168.50.1,57620,17,51:40.7,29172,DrDoS_DNS
703,172.16.0.5-192.168.50.1-634-15218-17,172.16.0.5,634,192.168.50.1,15218,17,51:40.7,29212,DrDoS_DNS
811,172.16.0.5-192.168.50.1-634-42291-17,172.16.0.5,634,192.168.50.1,42291,17,51:40.7,70290,DrDoS_DNS
2133,172.16.0.5-192.168.50.1-634-58492-17,172.16.0.5,634,192.168.50.1,58492,17,51:40.8,29130,DrDoS_DNS
1187,172.16.0.5-192.168.50.1-634-62964-17,172.16.0.5,634,192.168.50.1,62964,17,51:40.8,66949,DrDoS_DNS
1995,172.16.0.5-192.168.50.1-634-37082-17,172.16.0.5,634,192.168.50.1,37082,17,51:40.8,29086,DrDoS_DNS
2758,172.16.0.5-192.168.50.1-37082-634-17,192.168.50.1,634,172.16.0.5,37082,17,51:40.8,1,DrDoS_DNS
1434,172.16.0.5-192.168.50.1-634-43576-17,172.16.0.5,634,192.168.50.1,43576,17,51:40.8,32493,DrDoS_DNS
1442,172.16.0.5-192.168.50.1-634-14805-17,172.16.0.5,634,192.168.50.1,14805,17,51:40.9,40876,DrDoS_DNS
1516,172.16.0.5-192.168.50.1-810-56554-17,172.16.0.5,810,192.168.50.1,56554,17,51:40.9,73973,DrDoS_DNS
981,172.16.0.5-192.168.50.1-634-19566-17,172.16.0.5,634,192.168.50.1,19566,17,51:40.9,71425,DrDoS_DNS
3285,172.16.0.5-192.168.50.1-634-47764-17,172.16.0.5,634,192.168.50.1,47764,17,51:41.0,68252,DrDoS_DNS
768,172.16.0.5-192.168.50.1-634-56557-17,172.16.0.5,634,192.168.50.1,56557,17,51:41.1,63447,DrDoS_DNS
2868,172.16.0.5-192.168.50.1-634-17267-17,172.16.0.5,634,192.168.50.1,17267,17,51:41.2,53292,DrDoS_DNS
2474,172.16.0.5-192.168.50.1-634-15887-17,172.16.0.5,634,192.168.50.1,15887,17,51:41.2,140761,DrDoS_DNS
126,192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,51:41.3,113244633,BENIGN
3368,172.16.0.5-192.168.50.1-634-24068-17,172.16.0.5,634,192.168.50.1,24068,17,51:41.4,106466,DrDoS_DNS
229,172.16.0.5-192.168.50.1-634-49823-17,172.16.0.5,634,192.168.50.1,49823,17,51:41.5,107469,DrDoS_DNS
3054,172.16.0.5-192.168.50.1-634-13264-17,172.16.0.5,634,192.168.50.1,13264,17,51:41.6,79903821,DrDoS_DNS
2869,172.16.0.5-192.168.50.1-634-9352-17,172.16.0.5,634,192.168.50.1,9352,17,51:41.6,92475,DrDoS_DNS
2055,172.16.0.5-192.168.50.1-634-52873-17,172.16.0.5,634,192.168.50.1,52873,17,51:41.7,53788,DrDoS_DNS
3316,172.16.0.5-192.168.50.1-634-31895-17,172.16.0.5,634,192.168.50.1,31895,17,51:41.8,89334,DrDoS_DNS
2797,172.16.0.5-192.168.50.1-31895-634-17,192.168.50.1,634,172.16.0.5,31895,17,51:41.8,3,DrDoS_DNS
1871,172.16.0.5-192.168.50.1-634-24907-17,172.16.0.5,634,192.168.50.1,24907,17,51:41.9,30393,DrDoS_DNS
2106,172.16.0.5-192.168.50.1-634-22571-17,172.16.0.5,634,192.168.50.1,22571,17,51:41.9,61221,DrDoS_DNS
2611,172.16.0.5-192.168.50.1-634-9550-17,172.16.0.5,634,192.168.50.1,9550,17,51:41.9,29976,DrDoS_DNS
1207,172.16.0.5-192.168.50.1-634-26214-17,172.16.0.5,634,192.168.50.1,26214,17,51:41.9,42950,DrDoS_DNS
3337,172.16.0.5-192.168.50.1-634-9004-17,172.16.0.5,634,192.168.50.1,9004,17,51:41.9,151647,DrDoS_DNS
272,172.16.0.5-192.168.50.1-634-17560-17,172.16.0.5,634,192.168.50.1,17560,17,51:42.0,47522,DrDoS_DNS
3046,172.16.0.5-192.168.50.1-634-41785-17,172.16.0.5,634,192.168.50.1,41785,17,51:42.0,51145,DrDoS_DNS
2450,172.16.0.5-192.168.50.1-634-20018-17,172.16.0.5,634,192.168.50.1,20018,17,51:42.1,31263,DrDoS_DNS
299,172.16.0.5-192.168.50.1-634-30163-17,172.16.0.5,634,192.168.50.1,30163,17,51:42.1,39570,DrDoS_DNS
1192,172.16.0.5-192.168.50.1-634-19595-17,172.16.0.5,634,192.168.50.1,19595,17,51:42.1,30699,DrDoS_DNS
2945,172.16.0.5-192.168.50.1-634-13233-17,172.16.0.5,634,192.168.50.1,13233,17,51:42.1,43420,DrDoS_DNS
1865,172.16.0.5-192.168.50.1-634-18002-17,172.16.0.5,634,192.168.50.1,18002,17,51:42.1,30044,DrDoS_DNS
2581,172.16.0.5-192.168.50.1-811-37139-17,172.16.0.5,811,192.168.50.1,37139,17,51:42.2,30796,DrDoS_DNS
510,172.16.0.5-192.168.50.1-634-32179-17,172.16.0.5,634,192.168.50.1,32179,17,51:42.2,58677,DrDoS_DNS
3138,172.16.0.5-192.168.50.1-634-44630-17,172.16.0.5,634,192.168.50.1,44630,17,51:42.2,26585,DrDoS_DNS
1733,172.16.0.5-192.168.50.1-634-61040-17,172.16.0.5,634,192.168.50.1,61040,17,51:42.2,30709,DrDoS_DNS
778,172.16.0.5-192.168.50.1-634-28666-17,172.16.0.5,634,192.168.50.1,28666,17,51:42.2,49324,DrDoS_DNS
2489,172.16.0.5-192.168.50.1-634-19538-17,172.16.0.5,634,192.168.50.1,19538,17,51:42.3,43337,DrDoS_DNS
214,172.16.0.5-192.168.50.1-634-27959-17,172.16.0.5,634,192.168.50.1,27959,17,51:42.3,95793,DrDoS_DNS
3373,172.16.0.5-192.168.50.1-634-54215-17,172.16.0.5,634,192.168.50.1,54215,17,51:42.4,55168,DrDoS_DNS
284,172.16.0.5-192.168.50.1-634-47093-17,172.16.0.5,634,192.168.50.1,47093,17,51:42.5,65126,DrDoS_DNS
1977,172.16.0.5-192.168.50.1-634-21285-17,172.16.0.5,634,192.168.50.1,21285,17,51:42.5,66553,DrDoS_DNS
986,172.16.0.5-192.168.50.1-634-35284-17,172.16.0.5,634,192.168.50.1,35284,17,51:42.6,38490,DrDoS_DNS
1678,172.16.0.5-192.168.50.1-634-64352-17,172.16.0.5,634,192.168.50.1,64352,17,51:42.6,37293,DrDoS_DNS
602,172.16.0.5-192.168.50.1-634-46446-17,172.16.0.5,634,192.168.50.1,46446,17,51:42.7,60150,DrDoS_DNS
1173,172.16.0.5-192.168.50.1-634-25469-17,172.16.0.5,634,192.168.50.1,25469,17,51:42.7,45116,DrDoS_DNS
3128,172.16.0.5-192.168.50.1-634-25097-17,172.16.0.5,634,192.168.50.1,25097,17,51:42.8,50727,DrDoS_DNS
2393,172.16.0.5-192.168.50.1-25097-634-17,192.168.50.1,634,172.16.0.5,25097,17,51:42.8,2,DrDoS_DNS
608,172.16.0.5-192.168.50.1-634-5050-17,172.16.0.5,634,192.168.50.1,5050,17,51:42.8,1000595,DrDoS_DNS
2720,172.16.0.5-192.168.50.1-812-31322-17,172.16.0.5,812,192.168.50.1,31322,17,51:42.9,81826,DrDoS_DNS
1027,172.16.0.5-192.168.50.1-634-28009-17,172.16.0.5,634,192.168.50.1,28009,17,51:43.0,96541,DrDoS_DNS
2149,172.16.0.5-192.168.50.1-634-24350-17,172.16.0.5,634,192.168.50.1,24350,17,51:43.1,118187,DrDoS_DNS
91,192.168.50.8-23.15.4.11-59155-80-6,192.168.50.8,59155,23.15.4.11,80,6,51:43.1,95628949,BENIGN
87,172.217.0.110-192.168.50.8-80-59131-6,192.168.50.8,59131,172.217.0.110,80,6,51:43.1,95613243,BENIGN
88,172.217.0.110-192.168.50.8-80-59132-6,192.168.50.8,59132,172.217.0.110,80,6,51:43.2,95597710,BENIGN
2534,172.16.0.5-192.168.50.1-634-10656-17,172.16.0.5,634,192.168.50.1,10656,17,51:43.2,74212,DrDoS_DNS
85,192.168.50.8-104.36.115.113-59149-443-6,192.168.50.8,59149,104.36.115.113,443,6,51:43.2,95550752,BENIGN
84,192.168.50.8-72.21.91.29-59162-80-6,192.168.50.8,59162,72.21.91.29,80,6,51:43.3,95488268,BENIGN
1010,172.16.0.5-192.168.50.1-634-33868-17,172.16.0.5,634,192.168.50.1,33868,17,51:43.3,76564,DrDoS_DNS
90,172.217.0.110-192.168.50.8-80-59134-6,192.168.50.8,59134,172.217.0.110,80,6,51:43.3,95441625,BENIGN
89,172.217.0.110-192.168.50.8-80-59133-6,192.168.50.8,59133,172.217.0.110,80,6,51:43.3,95426030,BENIGN
